0000 ゴールド
C704 ボーンブレードウィップGDX
C804 ファイアーウィップXLS
C904 ハデスウィップXLS
CA04 ヘルシャウトの契約書
CB04 ハイランダーの覆面
CC04 クラフトヒストリー
CD04 もう一つのクラフトヒストリー
CE04 ティンバーマンの体
CF04 鷲闘士の翼羽
D004 野生茶色熊の皮
D104 地図製作用特殊用紙
D204 地図製作用特殊ペン
D304 特性茶色熊の皮チョッキ
D404 領収証
D504 クレミの葡萄酒
D604 ギルド紋章円盤の欠片
D704 ギルド紋章円盤
D804 古そうな剣
D904 新鮮な熊の肝
DA04 とても重たい小包
DB04 エルランの物品引き受け確認証
DC04 シンクさんの手紙
DD04 質の良いしっぽ毛
DE04 木目の綺麗な木の枝
DF04 真っ直ぐ切られた木切れ
E004 粘液
E104 昆虫が入っている瓶
E204 鳥類の羽毛
E304 派手な色の角質
E404 ジレッドの手紙
E504 最上級の塗料
E604 最上級の筆
E704 最上級の紙
E804 スモールヒールポーション[E]
E904 ミニポータル・ジェム
EA04 ミニポータル・オーブ
EB04 ミニポータル・スフィアー
EC04 火炎紋章のブローチ
ED04 トーチリザード紋章のブローチ
EE04 ファイアドレイク紋章のブローチ
F004 太いマジックペン
F104 レインボウインク
F204 キラキラインク
F304 大型立て札
F404 派手な立て札
F504 不思議な立て札
F604 きれいな立て札
F704 頼もしい立て札
F804 情熱的な立て札
F904 露店商立て札セット
FA04 サラマンダー紋章のブローチ
FB04 イフリィト紋章のブローチ
FC04 火炎紋章のブローチLX
FD04 トーチリザード紋章のブローチLX
FE04 ファイアドレイク紋章のブローチGDX
FF04 サラマンダー紋章のブローチGDX
0005 イフリィト紋章のブローチXLS
0105 ブルーマン紋章のブローチ
0205 ニックス紋章のブローチ
0305 メロウ紋章のブローチ
0405 マーマン紋章のブローチ
0505 トリトン紋章のブローチ
0605 ブルーマン紋章のブローチLX
0705 ニックス紋章のブローチLX
0805 メロウ紋章のブローチGDX
0905 マーマン紋章のブローチGDX
0A05 トリトン紋章のブローチXLS
0B05 トランクマン紋章のブローチ
0C05 ティンバーマン紋章のブローチ
0D05 トレント紋章のブローチ
0E05 エンティング紋章のブローチ
0F05 エント紋章のブローチ
1005 トランクマン紋章のブローチLX
1105 ティンバーマン紋章のブローチLX
1205 トレント紋章のブローチGDX
1305 エンティング紋章のブローチGDX
1405 エント紋章のブローチXLS
1505 微風紋章のブローチ
1605 パン紋章のブローチ
1705 サティロス紋章のブローチ
1805 ケンタウロス紋章のブローチ
1905 爆風紋章のブローチ
1A05 微風紋章のブローチLX
1B05 パン紋章のブローチLX
1C05 サティロス紋章のブローチGDX
1D05 ケンタウロス紋章のブローチGDX
1E05 爆風紋章のブローチXLS
1F05 グリムジョーカ紋章のブローチ
2005 ボイドラスター紋章のブローチ
2105 ウィルオウィスプ紋章のブローチ
2205 ホワイトシャドウ紋章のブローチ
2305 ペイルライト紋章のブローチ
2405 グリムジョーカ紋章のブローチLX
2505 ボイドラスター紋章のブローチLX
2605 ウィルオウィスプ紋章のブローチGDX
2705 ホワイトシャドウ紋章のブローチGDX
2805 ペイルライト紋章のブローチXLS
2905 火炎紋様の腕刺青
2A05 トーチリザード紋様の腕刺青
2B05 ファイアドレイク紋様の腕刺青
2D05 太いマジックペン1
2E05 レインボウインク1
2F05 キラキラインク1
3005 大型立て札1
3105 頼もしい立て札1
3205 派手な立て札1
3305 不思議な立て札1
3405 きれいな立て札1
3505 情熱的な立て札1
3605 露店商立て札セット1
3705 サラマンダー紋様の腕刺青
3805 イフリィト紋様の腕刺青
3905 火炎紋様の腕刺青LX
3A05 トーチリザード紋様の腕刺青LX
3B05 ファイアドレイク紋様の腕刺青GDX
3C05 サラマンダー紋様の腕刺青 GDX
3D05 イフリィト紋様の腕刺青 XLS
3E05 ブルーマン紋様の腕刺青
3F05 ニックス紋様の腕刺青
4005 メロウ紋様の腕刺青
4105 マーマン紋様の腕刺青
4205 トリトン紋様の腕刺青
4305 ブルーマン紋様の腕刺青 LX
4405 ニックス紋様の腕刺青 LX
4505 メロウ紋様の腕刺青 GDX
4605 マーマン紋様の腕刺青 GDX
4705 トリトン紋様の腕刺青 XLS
4805 トランクマン紋様の腕刺青
4905 ティンバーマン紋様の腕刺青
4A05 トレント紋様の腕刺青
4B05 エンティング紋様の腕刺青
4C05 エント紋様の腕刺青
4D05 トランクマン紋様の腕刺青 LX
4E05 ティンバーマン紋様の腕刺青 LX 
4F05 トレント紋様の腕刺青 GDX
5005 エンティング紋様の腕刺青 GDX
5105 エント紋様の腕刺青 XLS
5205 グリムジョーカ装飾の十字架
5305 ボイドラスター装飾の十字架
5405 ウィルオウィスプ装飾の十字架
5505 ホワイトシャドウ装飾の十字架
5605 ペイルライト装飾の十字架
5705 グリムジョーカ装飾の十字架 LX
5805 ボイドラスター装飾の十字架 LX
5905 ウィルオウィスプ装飾の十字架 GDX
5A05 ホワイトシャドウ装飾の十字架 GDX
5B05 ペイルライト装飾の十字架 XLS
5C05 グリムジョーカ紋様の腕刺青
5D05 ボイドラスター紋様の腕刺青
5E05 ウィルオウィスプ紋様の腕刺青
5F05 ホワイトシャドウ紋様の腕刺青
6005 ペイルライト紋様の腕刺青
6105 グリムジョーカ紋様の腕刺青 LX
6205 ボイドラスター紋様の腕刺青 LX
6305 ウィルオウィスプ紋様の腕刺青 GDX
6405 ホワイトシャドウ紋様の腕刺青 GDX
6505 ペイルライト紋様の腕刺青 XLS
6605 火炎紋様の肩刺青
6705 トーチリザード紋様の肩刺青
6805 ファイアドレイク紋様の肩刺青
6905 分かり辛い文書
6A05 本当に分かり辛い文書
6B05 さっぱり読めない文書
6C05 ギルドマーク・拡張パッケージ
6D05 サーペントアルファ
6E05 マジックウィンド
6F05 赤い花の指輪
7005 ギルドマーク・ハングルパッケージ
7105 ギルドマーク・アルファベットパッケージ
7205 ギルドマーク・漢字パッケージ
7305 ギルドマーク・アイテムパッケージ
7405 サラマンダー紋様の肩刺青
7505 イフリィト紋様の肩刺青
7605 火炎紋様の肩刺青LX
7705 トーチリザード紋様の肩刺青LX
7805 ファイアドレイク紋様の肩刺青GDX
7905 サラマンダー紋様の肩刺青GDX
7A05 イフリィト紋様の肩刺青XLS
7B05 ブルーマン紋様の肩刺青
7C05 ニックス紋様の肩刺青
7D05 メロウ紋様の肩刺青
7E05 マーマン紋様の肩刺青
7F05 トリトン紋様の肩刺青
8005 ブルーマン紋様の肩刺青LX
8105 ニックス紋様の肩刺青LX
8205 メロウ紋様の肩刺青GDX
8305 マーマン紋様の肩刺青GDX
8405 トリトン紋様の肩刺青XLS
8505 トランクマン紋様の肩刺青
8605 ティンバーマン紋様の肩刺青
8705 トレント紋様の肩刺青
8805 エンティング紋様の肩刺青
8905 エント紋様の肩刺青
8A05 トランクマン紋様の肩刺青LX
8B05 ティンバーマン紋様の肩刺青LX
8C05 トレント紋様の肩刺青GDX
8D05 エンティング紋様の肩刺青GDX
8E05 エント紋様の肩刺青XLS
8F05 微風紋様の肩刺青
9005 パン紋様の肩刺青
9105 サティロス紋様の肩刺青
9205 ケンタウロス紋様の肩刺青
9305 爆風紋様の肩刺青
9405 微風紋様の肩刺青LX
9505 パン紋様の肩刺青LX
9605 サティロス紋様の肩刺青GDX
9705 ケンタウロス紋様の肩刺青GDX
9805 爆風紋様の肩刺青XLS
9905 グリムジョーカ紋様の肩刺青
9A05 ボイドラスター紋様の肩刺青
9B05 ウィルオウィスプ紋様の肩刺青
9C05 ホワイトシャドウ紋様の肩刺青
9D05 ペイルライト紋様の肩刺青
9E05 グリムジョーカ紋様の肩刺青LX
9F05 ボイドラスター紋様の肩刺青LX
A005 ウィルオウィスプ紋様の肩刺青GDX
A105 ホワイトシャドウ紋様の肩刺青GDX
A205 ペイルライト紋様の肩刺青XLS
A305 火炎装飾の十字架
A405 トーチリザード装飾の十字架
A505 ファイアドレイク装飾の十字架
A605 ギルドマーク・動物パッケージ
A705 ギルドマーク・スペシャルパッケージ
A805 ギルドマーク・ラグジュアリーパッケージ
A905 スキル再配分巻物(E)
AA05 ステータス再配分巻物(E)
AB05 キャンディーSP
AC05 初心者用ベルト
AD05 サラの手紙
AE05 解剖用ナイフ
AF05 鼠の尻尾
B005 枯れ果てたミイラの包帯
B105 サラマンダー装飾の十字架
B205 イフリィト装飾の十字架
B305 火炎装飾の十字架 LX
B405 トーチリザード装飾の十字架 LX
B505 ファイアドレイク装飾の十字架 GDX
B605 サラマンダー装飾の十字架 GDX
B705 イフリィト装飾の十字架 XLS
B805 ブルーマン装飾の十字架
B905 ニックス装飾の十字架
BA05 メロウ装飾の十字架
BB05 マーマン装飾の十字架
BC05 トリトン装飾の十字架
BD05 ブルーマン装飾の十字架 LX
BE05 ニックス装飾の十字架 LX
BF05 メロウ装飾の十字架 GDX
C005 マーマン装飾の十字架 GDX
C105 トリトン装飾の十字架 XLS
C205 ディムジェスター装飾の十字架
C305 リプリートマーキ装飾の十字架
C405 シャドウ装飾の十字架
C505 ダークファイア装飾の十字架
C605 ビビッドブラック装飾の十字架
C705 ディムジェスター装飾の十字架 LX
C805 リプリートマーキ装飾の十字架 LX
C905 シャドウ装飾の十字架 GDX
CA05 ダークファイア装飾の十字架 GDX
CB05 ビビッドブラック装飾の十字架 XLS
CC05 微風装飾の十字架
CD05 パン装飾の十字架
CE05 サティロス装飾の十字架
CF05 ケンタウロス装飾の十字架
D005 爆風装飾の十字架
D105 微風装飾の十字架 LX
D205 パン装飾の十字架 LX
D305 サティロス装飾の十字架 GDX
D405 ケンタウロス装飾の十字架 GDX
D505 爆風装飾の十字架 XLS
D605 炎紋章のブローチ
D705 フーフー紋章のブローチ
D805 ブレイジャー紋章のブローチ
D905 火鬼紋章のブローチ
DA05 火炎鬼紋章のブローチ
DB05 火炎紋章のブローチ LX
DC05 フーフー紋章のブローチ LX
DD05 ブレイジャー紋章のブローチ GDX
DE05 火鬼紋章のブローチ GDX
DF05 火炎鬼紋章のブローチ XLS
E005 オクトパスタング紋章のブローチ
E105 凍破紋章のブローチ
E205 キャストアイ紋章のブローチ
E305 雪木紋章のブローチ
E405 サリビラエ紋章のブローチ
E505 オクトパスタング紋章のブローチ LX
E605 凍破紋章のブローチ LX
E705 キャストアイ紋章のブローチ GDX
E805 雪木紋章のブローチ GDX
E905 サリビラエ紋章のブローチ XLS
EA05 ゴーレム紋章のブローチ
EB05 クレイゴーレム紋章のブローチ
EC05 ロックゴーレム紋章のブローチ
ED05 メタルゴーレム紋章のブローチ
EE05 ダイヤモンドゴーレム紋章のブローチ
EF05 ゴーレム紋章のブローチ LX
F005 クレイゴーレム紋章のブローチ LX
F105 ロックゴーレム紋章のブローチ GDX
F205 メタルゴーレム紋章のブローチ GDX
F305 ダイヤモンドゴーレム紋章のブローチ XLS
F405 ガーゴイル紋章のブローチ
F505 マーブルガゴイル紋章のブローチ
F605 エボニーガゴイル紋章のブローチ
F705 オニキスガーゴイル紋章のブローチ
F805 オプシディアンガーゴイル紋章のブローチ
F905 ガーゴイル紋章のブローチ LX
FA05 マーブルガゴイル紋章のブローチ LX
FB05 エボニーガゴイル紋章のブローチ GDX
FC05 オニキスガーゴイル紋章のブローチ GDX
FD05 オプシディアンガーゴイル紋章のブローチ XLS
FE05 白い紋章のブローチ
FF05 眩い紋章のブローチ
0006 煌く紋章のブローチ
0106 輝く紋章のブローチ
0206 燦爛な紋章のブローチ
0306 白い紋章のブローチ LX
0406 眩い紋章のブローチ LX
0506 煌く紋章のブローチ GDX
0606 輝く紋章のブローチ GDX
0706 燦爛な紋章のブローチ XLS
0806 火炎紋様の腕刺青
0906 フーフー紋様の腕刺青
0A06 ブレイジャー紋様の腕刺青
0B06 火鬼紋様の腕刺青
0C06 火炎鬼紋様の腕刺青
0D06 火炎紋様の腕刺青 LX
0E06 フーフー紋様の腕刺青 LX
0F06 ブレイジャー紋様の腕刺青 GDX
1006 火鬼紋様の腕刺青 GDX
1106 火炎鬼紋様の腕刺青 XLS
1206 オクトパスタング紋様の腕刺青
1306 凍破紋様の腕刺青
1406 キャストアイ紋様の腕刺青
1506 雪木紋様の腕刺青
1606 サリビラエ紋様の腕刺青
1706 オクトパスタング紋様の腕刺青 LX
1806 凍破紋様の腕刺青 LX
1906 キャストアイ紋様の腕刺青 GDX
1A06 雪木紋様の腕刺青 GDX
1B06 サリビラエ紋様の腕刺青 XLS
1C06 ゴーレム紋様の腕刺青
1D06 クレイゴーレム紋様の腕刺青
1E06 ロックゴーレム紋様の腕刺青
1F06 メタルゴーレム紋様の腕刺青
2006 ダイヤモンドゴーレム紋様の腕刺青
2106 ゴーレム紋様の腕刺青 LX
2206 クレイゴーレム紋様の腕刺青 LX
2306 ロックゴーレム紋様の腕刺青 GDX
2406 メタルゴーレム紋様の腕刺青 GDX
2506 ダイヤモンドゴーレム紋様の腕刺青 XLS
2606 黒い装飾の十字架
2706 暗い装飾の十字架
2806 闇装飾の十字架
2906 真っ暗な装飾の十字架
2A06 暗黒装飾の十字架
2B06 黒い装飾の十字架 LX
2C06 暗い装飾の十字架 LX
2D06 闇装飾の十字架 GDX
2E06 真っ暗な装飾の十字架 GDX
2F06 暗黒装飾の十字架 XLS
3006 白い紋様の腕刺青
3106 眩い紋様の腕刺青
3206 煌く紋様の腕刺青
3306 輝く紋様の腕刺青
3406 燦爛な紋様の腕刺青
3506 白い紋様の腕刺青 LX
3606 眩い紋様の腕刺青 LX
3706 煌く紋様の腕刺青 GDX
3806 輝く紋様の腕刺青 GDX
3906 燦爛な紋様の腕刺青 XLS
3A06 炎紋様の肩刺青
3B06 フーフー紋様の肩刺青
3C06 ブレイジャー紋様の肩刺青
3D06 火鬼紋様の肩刺青
3E06 火炎鬼紋様の肩刺青
3F06 火炎紋様の肩刺青  LX
4006 フーフー紋様の肩刺青  LX
4106 ブレイジャー紋様の肩刺青  GDX
4206 火鬼紋様の肩刺青  GDX
4306 火炎鬼紋様の肩刺青  XLS
4406 オクトパスタング紋様の肩刺青
4506 凍破紋様の肩刺青
4606 キャストアイ紋様の肩刺青
4706 雪木紋様の肩刺青
4806 サリビラエ紋様の肩刺青
4906 オクトパスタング紋様の肩刺青  LX
4A06 凍破紋様の肩刺青  LX
4B06 キャストアイ紋様の肩刺青  GDX
4C06 雪木紋様の肩刺青  GDX
4D06 サリビラエ紋様の肩刺青  XLS
4E06 ゴーレム紋様の肩刺青
4F06 クレイゴーレム紋様の肩刺青
5006 ロックゴーレム紋様の肩刺青
5106 メタルゴーレム紋様の肩刺青
5206 ダイヤモンドゴーレム紋様の肩刺青
5306 ゴーレム紋様の肩刺青LX
5406 クレイゴーレム紋様の肩刺青LX
5506 ロックゴーレム紋様の肩刺青GDX
5606 メタルゴーレム紋様の肩刺青GDX
5706 ダイヤモンドゴーレム紋様の肩刺青XLS
5806 ガーゴイル紋様の肩刺青
5906 マーブルガゴイル紋様の肩刺青
5A06 エボニーガゴイル紋様の肩刺青
5B06 オニキスガーゴイル紋様の肩刺青
5C06 オプシディアンガーゴイル紋様の肩刺青
5D06 ガーゴイル紋様の肩刺青LX
5E06 マーブルガゴイル紋様の肩刺青LX
5F06 エボニーガゴイル紋様の肩刺青GDX
6006 オニキスガーゴイル紋様の肩刺青GDX
6106 オプシディアンガーゴイル紋様の肩刺青XLS
6206 白い紋様の肩刺青
6306 眩い紋様の肩刺青
6406 煌く紋様の肩刺青
6506 輝く紋様の肩刺青
6606 燦爛な紋様の肩刺青
6706 白い紋様の肩刺青  LX
6806 眩い紋様の肩刺青  LX
6906 煌く紋様の肩刺青  GDX
6A06 輝く紋様の肩刺青  GDX
6B06 燦爛な紋様の肩刺青  XLS
6C06 炎装飾の十字架
6D06 フーフー装飾の十字架
6E06 ブレイジャー装飾の十字架
6F06 火鬼装飾の十字架
7006 火炎鬼装飾の十字架
7106 炎装飾の十字架 LX
7206 フーフー装飾の十字架 LX
7306 ブレイジャー装飾の十字架 GDX
7406 火鬼装飾の十字架 GDX
7506 火炎鬼装飾の十字架 XLS
7606 オクトパスタング装飾の十字架
7706 凍破装飾の十字架
7806 キャストアイ装飾の十字架
7906 雪木装飾の十字架
7A06 サリビラエ装飾の十字架
7B06 オクトパスタング 装飾の十字架 LX
7C06 凍破装飾の十字架 LX
7D06 キャストアイ装飾の十字架 GDX
7E06 雪木装飾の十字架 GDX
7F06 サリビラエ装飾の十字架 XLS
8006 食料補給品
8106 ダイアーウルフの肉
8206 シーフの連絡文書
8306 怪しい粉
8406 木の欠片
8506 名前が書いてあるハンカチ
8606 ダイアーウルフの目
8706 エンバームドの霊魂の壺
8806 霊魂のペンダント
8906 レッドアイ魔法師の杖
8A06 ガーゴイル装飾の十字架
8B06 マーブルガゴイル装飾の十字架
8C06 エボニーガゴイル装飾の十字架
8D06 オニキスガーゴイル装飾の十字架
8E06 オプシディアンガーゴイル装飾の十字架
8F06 ガーゴイル装飾の十字架 LX
9006 マーブルガゴイル装飾の十字架 LX
9106 エボニーガゴイル装飾の十字架 GDX
9206 オニキスガーゴイル装飾の十字架 GDX
9306 オプシディアンガーゴイル装飾の十字架 XLS
9406 白い装飾の十字架
9506 眩い装飾の十字架
9606 煌く装飾の十字架
9706 輝く装飾の十字架
9806 燦爛な装飾の十字架
9906 白い装飾の十字架 LX
9A06 眩い装飾の十字架 LX
9B06 煌く装飾の十字架 GDX
9C06 輝く装飾の十字架 GDX
9D06 燦爛な装飾の十字架 XLS
9E06 幽霊鎧
9F06 サソリの硬い殻
A006 サラマンダーの石版
A106 火の鏡
A206 青い水の槍
A306 キャンサーの泡
A406 油採集用のガラス瓶
A506 質のいい油
A606 アレスの報告書1章
A706 アレスの報告書2章
A806 カンデントの報告書1章
A906 カンデントの報告書2章
AA06 カンデントの報告書3章
AB06 カンデントのメモ
AC06 カンデントの報告書4章
AD06 アレスの報告書3章
AE06 プレーガーの神秘な玉
AF06 亡霊の神秘な玉
B006 リザードの水色の玉
B106 リザードの青い玉
B206 アクアスライムの輝く玉
B306 クローラーの輝く玉
B406 メロウの冷たい玉
B506 キャストアイの涼しい玉
B606 魔法の網
B706 妖精の蜘蛛の糸
B806 光のランプ
B906 木製の箱
BA06 眼鏡入れ
BB06 小さい苗木
BC06 ペット飼育記録書
BD06 洗練された刃油DX
BE06 洗練された鎧油DX
BF06 神獣と大熊のバッジ
C006 境地と速さのバッジ
C106 力強さと強健さのバッジ
C206 理解深さと知恵深さのバッジ
C306 徳望と美しさのバッジ
C406 女神と運命のバッジ
C506 魂バッジ
C606 長命のバッジ
C706 いっぱいで隙の無いバッジ
C806 溢れるバッジ
C906 旺盛のバッジ
CA06 RED STONEと達人のバッジ
D706 デラックスアイテム強化用キット
D806 友情のポータル
D906 パルラニア水晶
DA06 クリスマスプレゼント
DB06 火元素
DC06 骨人像の骨切れ
DD06 悟りと知能のバッジ
DE06 Rank10-EX ショートソード
DF06 Rank10-EX ソードスティック
E006 Rank9-EX レイピア
E106 Rank9-EX タウンソード
E206 Rank10-EX 練習用両手持ち剣
E306 Rank10-EX バスタードソード
E406 Rank9-EX 両手持ち剣
E506 Rank9-EX グレートソード
E606 Rank10-EX 杖
E706 Rank10-EX 木の杖
E806 Rank9-EX 山登り杖
E906 Rank9-EX 小さな杖
EA06 Rank10-EX 牙
EB06 Rank10-EX 青銅の牙
EC06 Rank9-EX 鉄の牙
ED06 Rank9-EX 鋼の牙
EE06 Rank10-EX 棍棒
EF06 Rank10-EX 木の棍棒
F006 Rank9-EX メイス
F106 Rank9-EX ホール
F206 Rank10-EX 銅の翼
F306 Rank10-EX 黄銅の翼
F406 Rank9-EX 青銅の翼
F506 Rank9-EX 鋼の翼
F606 Rank10-EX ショートスピア
F706 Rank10-EX ショートパイク
F806 Rank9-EX 投げ槍
F906 Rank9-EX ロングスピア
FA06 Rank10-EX 小型の弓
FB06 Rank10-EX 強化弓
FC06 Rank9-EX 補強された弓
FD06 Rank9-EX 合成の弓
FE06 Rank10-EX 笛
FF06 Rank10-EX ハイフルート
0007 Rank9-EX クラリネット
0107 Rank9-EX ベースクラリネット
0207 Rank10-EX 皮のグローブ
0307 Rank10-EX 戦闘用グローブ
0407 Rank9-EX 鱗グローブ
0507 Rank9-EX チェーングローブ
0607 Rank10-EX 布の服
0707 Rank10-EX 鋲付きレザーアーマー
0807 Rank9-EX メタルスケールアーマー
0907 Rank9-EX ブレストプレート
0A07 Rank10-EX 魔力補充キット
0B07 Rank9-EX 魔力補充キット
0C07 Rank8-EX 魔力補充キット
1707 絨毯キットエンブレム
1807 タートル召喚状
1907 リスポケットベル
1A07 ドレイクサモンセット
1B07 ギアカーペットツール
1C07 タートル召喚状簡易版
1D07 リスポケットベル簡易版
1E07 ドレイクサモンセット簡易版
1F07 ギアカーペットツール簡易版
2007 ポータル・スフィアー引替券
2207 9等級EXアイテム引替券
2307 ユニークアイテム宝くじ
2507 割れた魔法石の欠片
2707 シャムシールLX
2807 魔法カバン
2907 デラックスアイテム修理用キット
2B07 ロトボックス
2C07 奇跡の幸運チケット
2D07 至高の幸運チケット
2E07 究極の幸運チケット
2F07 アイテムのかけら
3007 'コボルト疫病'研究文書
3107 通行用ポータルクリスタル
3207 古文書
3307 動物図鑑
3407 武器図鑑
3507 魔力解除キット
3607 超強力魔力解除キット
3707 ミニゲートグローブ
3807 垂直バナー設置キット
3907 水平バナー設置キット
3B07 不吉なオーラの呪文書
3C07 日記帳
3D07 呪文報告書
3E07 しわくちゃになった手紙
3F07 ゲートグローブ
4007 大型立て札ミニ
4107 派手な立て札ミニ
4207 神秘な立て札ミニ
4307 きれいな立て札ミニ
4407 頼もしい立て札ミニ
4507 情熱的な立て札ミニ
4607 生き生きしている花
4707 落書き用の赤色ペン
4807 落書き用青色ペン
4907 宝物地図
4A07 運命の香水
4B07 ギルドスキル再分配巻物
4F07 異次元ボックス
5E07 墓碑につく黄色コケ
5F07 石の上につく緑コケ
6007 木の建物に生えた赤色のキノコ
6107 木の切り株に生えた黄色のキノコ
6207 つつじの花びら
6307 亀の卵
6407 スッポンの歯
6507 ソードスパイダーの刃
6607 変異スコーピオンの毒袋
6707 新米鷲戦士のくちばし
6807 赤い悪魔の爪
6907 レッドアイ報告書 7冊
6A07 レッドアイ報告書 15冊
6B07 レッドアイ年鑑 39冊
6C07 RED STONE台座のかけら
6D07 天使の羽の切れ端
6E07 ブルセの羽の切れ端
6F07 うわさ報告書
7007 うわさ報告書:うわさ1個記録
7107 うわさ報告書:うわさ2個記録
7207 うわさ報告書:うわさ3個記録
7307 うわさ報告書:うわさ4個記録
7407 うわさ報告書:うわさ5個記録
7507 うわさ報告書:うわさ6個記録
7607 うわさ報告書:完成本
7707 RED STONE風聞の記録巻物 1
7807 RED STONE風聞の記録巻物 2
7907 RED STONE風聞の記録巻物 3
7A07 RED STONE風聞の記録巻物 4
7B07 RED STONE風聞の記録巻物 5
7C07 RED STONE風聞の真偽記録巻物 1
7D07 RED STONE風聞の真偽記録巻物 2
7E07 RED STONE風聞の真偽記録巻物 3
7F07 RED STONE風聞の真偽記録巻物 4
8007 RED STONE風聞の真偽記録巻物 5
8107 RED STONE風聞の記録巻物 6
8207 先祖の恩徳
8307 レッドアイ団員指輪
8407 抽出魔法書
8507 幽霊鎧欠片
8607 RED STONE風聞の真偽記録巻物 6
8707 幽霊刀
8807 石炭
8907 乾いた薪
8A07 エルフ戦士の剣
8B07 ビッグアイ南門の鍵
8C07 ゴーレムの剣
8D07 速達電報の巻物
8E07 悪魔の足指の爪
8F07 ぼろぼろの文書ファイル
9007 尖った形のクリスタル瓶
9107 悪魔の胡椒を詰めた瓶
9207 ファントムの魂
9307 濡れた本
9407 赤い石版
9507 やや濁っている水晶玉
9607 骸骨狂戦士の骨
9707 トレントの木
9807 ポイズンテールの毒
9907 ソードスパイダーの蜘蛛の糸
9A07 黒い天使の羽
9B07 パリピースエヴァース
9C07 古文書II
9D07 ジュディアの手紙
9E07 ゲールの手紙
9F07 愛の証
A007 レッドアイ支部用羊皮紙
A107 クリスティラの推薦状
A207 木精霊の木の葉
A307 フィッシュエッグ
A407 ポテムスンの推薦状
A507 マーブルガゴイルの羽
A607 レッドアイ報告書39冊
A707 ダメルの歴史書 第1巻
A807 ダメルの歴史書 第2巻
A907 ダメルの歴史書 第3巻
AA07 ダメルの歴史書 第4巻
AB07 ダメルの歴史書 第5巻
AC07 クローラーの汁
AD07 本
AE07 火酒
AF07 ページ
B007 にせ物レッドストーン
B107 古文書 I
B207 ジュディアのネックレス
B307 天使の涙
B407 パリピースエヴァース(貸与品)
B507 プリンセスが変身した武器
B607 食べ物が入った器
B707 鋭い短刀
B807 くだかれた鍵のかけら
B907 知識の紙切れ[E]
BA07 力のポーション[E]
BB07 健康のポーション[E]
BC07 オブルラデ－専用短刀
BD07 ジェプリ専用ショートソード
BE07 ケーン専用鈍器
BF07 アムネア専用ガス桶
C007 ネブリア専用鑑定機
C107 暗号表1枚
C207 暗号表2枚
C307 暗号表3枚
C407 シュトラセラトテレポーター無料利用券
C507 ブルンネンシュティグテレポーター無料利用券
C607 星の粉
C707 アリエルの薬
C807 アリエルの薬：中和剤
C907 魂の原石
CA07 ポラックの大事な指輪
CB07 ペルデーノンド
CC07 おじいさんの意見
CD07 おじさんの意見
CE07 お嬢さんの意見
CF07 ちびっこの意見
D007 ヤマイヌの骨
D107 加工用高級蜘蛛の糸
D207 首なし怪物の樹液
D307 精神の粉
D407 メロウの背びれ
D507 浄化の果実
D607 呪いを解く薬
D707 最高級ドレス
D807 高級ドレス
D907 レッドアイ連絡指輪
DA07 バンダナUltimate
DB07 皮の帽子Ultimate
DC07 ヘッドギアUltimate
DD07 強化ヘッドギアUltimate
DE07 鉄の帽子Ultimate
DF07 兜Ultimate
E007 偉い兜Ultimate
E107 大型の兜Ultimate
E207 ジャイアント兜Ultimate
E307 サークレットUltimate
E407 花冠Ultimate
E507 ティアラUltimate
E607 冕冠Ultimate
E707 王冠Ultimate
E807 皮のグローブUltimate
E907 戦闘用グローブUltimate
EA07 鱗グローブUltimate
EB07 チェーングローブUltimate
EC07 ガントレットUltimate
ED07 鋲付きグローブUltimate
EE07 格闘用グローブUltimate
EF07 武道グローブUltimate
F007 槍投擲機Ultimate
F107 クローUltimate
F207 バグナクUltimate
F307 鉄のクローUltimate
F407 手首保護帯Ultimate
F507 バングルUltimate
F607 ブレスレットUltimate
F707 リストバンドUltimate
F807 腕輪Ultimate
F907 リストチェーンUltimate
FA07 ベルトUltimate
FB07 胴巻きUltimate
FC07 レザーベルトUltimate
FD07 鱗ベルトUltimate
FE07 強化ベルトUltimate
FF07 チェーンベルトUltimate
0008 鎖輪のベルトUltimate
0108 鉄板ベルトUltimate
0208 ゴールドベルトUltimate
0308 草鞋Ultimate
0408 クロスシューズUltimate
0508 レザーシューズUltimate
0608 鱗シューズUltimate
0708 強化シューズUltimate
0808 チェーンシューズUltimate
0908 メタルシューズUltimate
0A08 ゴールドシューズUltimate
0B08 首飾りUltimate
0C08 ネックレスUltimate
0D08 スカルネックレスUltimate
0E08 ペンダントUltimate
0F08 勲章Ultimate
1008 お守りUltimate
1108 レザーカラーUltimate
1208 鋲付きカラーUltimate
1308 メタルカラーUltimate
1408 スパイクカラーUltimate
1508 リングUltimate
1608 スカルリングUltimate
1708 スパイラルリングUltimate
1808 ダブルリングUltimate
1908 スタンプリングUltimate
1A08 セッティングリングUltimate
1B08 レザーリングUltimate
1C08 バトルリングUltimate
1D08 イヤリングUltimate
1E08 ボーンイヤリングUltimate
1F08 クロスイヤリングUltimate
2008 ダブルイヤリングUltimate
2108 チェーンイヤリングUltimate
2208 ジャイアントイヤリングUltimate
2308 マントUltimate
2408 ケープUltimate
2508 クロークUltimate
2608 ローブUltimate
2708 コートUltimate
2808 布の服Ultimate
2908 レザーアーマーUltimate
2A08 鋲付きレザーアーマーUltimate
